trade_count,win_rate,profit_factor,expectancy_ticks,median_ticks,net_ticks,sharpe,max_consecutive_losses,sl_ticks,tp_ticks,r_multiple
70,0.07142857142857142,2.0123076923076924,4.7,-5.0,329.0,0.1280245636936046,16,5,150,30.0
70,0.05714285714285714,1.812121212121212,3.8285714285714287,-5.0,268.0,0.09848480666429021,23,5,200,40.0
70,0.08571428571428572,1.73125,3.342857142857143,-5.0,234.0,0.11978948587447628,16,5,100,20.0
70,0.08571428571428572,1.40625,1.8571428571428572,-5.0,130.0,0.08233097878055558,16,5,75,15.0
70,0.1,1.3761904761904762,3.3857142857142857,-10.0,237.0,0.07958366037299959,15,10,150,15.0
70,0.08571428571428572,1.3453125,3.157142857142857,-10.0,221.0,0.06697531123726462,17,10,200,20.0
70,0.12857142857142856,1.339344262295082,2.9571428571428573,-10.0,207.0,0.0855863978388986,15,10,100,10.0
70,0.7857142857142857,1.2910798122065728,5.314285714285714,30.0,372.0,0.1082967041306099,2,100,30,0.3
70,0.2857142857142857,1.276,2.9571428571428573,-15.0,207.0,0.10183201733245487,10,15,50,3.3333333333333335
70,0.17142857142857143,1.2603448275862068,4.314285714285714,-20.0,302.0,0.07507321689033132,11,20,150,7.5
70,0.2571428571428571,1.2326923076923078,3.4571428571428573,-20.0,242.0,0.08444866059302361,9,20,75,3.75
70,0.6714285714285714,1.2,5.314285714285714,50.0,372.0,0.08350667794220382,3,100,50,0.5
70,0.32857142857142857,1.1776595744680851,2.3857142857142857,-20.0,167.0,0.07312154259629103,8,20,50,2.5
70,0.15714285714285714,1.1703389830508475,2.8714285714285714,-20.0,201.0,0.048182774478495206,11,20,200,10.0
70,0.2,1.1690476190476191,2.0285714285714285,-15.0,142.0,0.05763250501119798,10,15,75,5.0
70,0.1,1.1111111111111112,0.5,-5.0,35.0,0.030085801478604422,16,5,50,10.0
70,0.12857142857142856,1.1065573770491803,0.9285714285714286,-10.0,65.0,0.03240289280464386,15,10,75,7.5
70,0.12857142857142856,1.1060109289617486,1.3857142857142857,-15.0,97.0,0.029517426206465427,11,15,150,10.0
70,0.2,1.0928571428571427,1.4857142857142858,-20.0,104.0,0.033080512630751624,10,20,100,5.0
70,0.11428571428571428,1.081720430107527,1.0857142857142856,-15.0,76.0,0.02122283935569113,12,15,200,13.333333333333334
70,0.8142857142857143,1.0575139146567718,0.8857142857142857,20.0,62.0,0.021118030853389577,2,100,20,0.2
70,0.9,1.0482529118136439,0.4142857142857143,10.0,29.0,0.013879772561848764,2,100,10,0.1
70,0.15714285714285714,1.0440677966101695,0.5571428571428572,-15.0,39.0,0.014621261279157062,10,15,100,6.666666666666667
70,0.34285714285714286,1.0434782608695652,0.42857142857142855,-15.0,30.0,0.01992047682223989,10,15,30,2.0
70,0.17142857142857143,1.0344827586206897,0.2857142857142857,-10.0,20.0,0.012544392982238311,15,10,50,5.0
70,0.14285714285714285,1.0,0.0,-5.0,0.0,0.0,16,5,30,6.0
70,0.4,1.0,0.0,-20.0,0.0,0.0,8,20,30,1.5
70,0.5857142857142857,0.9994895354772844,-0.014285714285714285,50.0,-1.0,-0.00024315947430211048,4,75,50,0.6666666666666666
70,0.8571428571428571,0.9988901220865705,-0.014285714285714285,15.0,-1.0,-0.000377746947923398,2,100,15,0.15
70,0.38571428571428573,0.9806201550387597,-0.35714285714285715,-30.0,-25.0,-0.009320797311557815,8,30,50,1.6666666666666667
70,0.7,0.9786950732356857,-0.45714285714285713,30.0,-32.0,-0.009663740992153853,3,75,30,0.4
70,0.21428571428571427,0.9711479435236341,-0.6714285714285714,-30.0,-47.0,-0.010893766417004465,8,30,150,5.0
70,0.5,0.9663377829367382,-0.8285714285714286,-8.0,-58.0,-0.01678720781680198,4,50,50,1.0
70,0.24285714285714285,0.9622641509433962,-0.2857142857142857,-10.0,-20.0,-0.016538005583097405,10,10,30,3.0
70,0.4857142857142857,0.9593802345058626,-1.3857142857142857,-11.0,-97.0,-0.01980041113664297,6,75,75,1.0
70,0.3,0.9503401360544218,-1.042857142857143,-30.0,-73.0,-0.022639284790439335,8,30,75,2.5
70,0.37142857142857144,0.944558521560575,-2.3142857142857145,-75.0,-162.0,-0.025115422443057634,7,75,150,2.0
70,0.5285714285714286,0.9419329696024942,-2.1285714285714286,16.0,-149.0,-0.027653018302059504,6,100,75,0.75
70,0.4714285714285714,0.9299499642601858,-2.8,-10.0,-196.0,-0.03296961989096385,6,100,100,1.0
70,0.42857142857142855,0.9193027759845062,-3.5714285714285716,-23.0,-250.0,-0.0364358052922099,6,100,150,1.5
70,0.18571428571428572,0.9122807017543859,-0.35714285714285715,-5.0,-25.0,-0.03647257460983186,16,5,20,4.0
70,0.2,0.9047619047619048,-2.257142857142857,-30.0,-158.0,-0.03551250582957008,8,30,200,6.666666666666667
70,0.34285714285714286,0.9000651041666666,-4.385714285714286,-75.0,-307.0,-0.044401054386081544,7,75,200,2.6666666666666665
70,0.4714285714285714,0.8918918918918919,-1.7142857142857142,-30.0,-120.0,-0.05682607877729405,4,30,30,1.0
70,0.4142857142857143,0.8717093066370041,-4.942857142857143,-43.0,-346.0,-0.06388645220786608,7,75,100,1.3333333333333333
70,0.24285714285714285,0.8693435309114086,-2.9285714285714284,-30.0,-205.0,-0.05826776772910859,8,30,100,3.3333333333333335
70,0.2857142857142857,0.8675302966987045,-4.5285714285714285,-50.0,-317.0,-0.05957021783139684,8,50,150,3.0
70,0.4,0.8650697392359006,-6.357142857142857,-35.5,-445.0,-0.060650704674173404,6,100,200,2.0
