trade_count,win_rate,profit_factor,expectancy_ticks,median_ticks,net_ticks,sharpe,max_consecutive_losses,sl_mult,tp_mult,avg_sl_ticks,avg_tp_ticks,r_multiple
58,0.8275862068965517,1.4064220183486238,7.637931034482759,24.0,443.0,0.12813160328156994,2,1.5,0.5,100.05172413793103,33.36206896551724,0.3333333333333333
58,0.8448275862068966,1.2161115414407435,4.810344827586207,24.5,279.0,0.06722374336904417,2,2.0,0.5,133.43103448275863,33.36206896551724,0.25
58,0.7068965517241379,1.1072319201995013,2.2241379310344827,22.5,129.0,0.04233788339478738,2,1.0,0.5,66.67241379310344,33.36206896551724,0.5
58,0.5,0.9907407407407407,-0.15517241379310345,-0.5,-9.0,-0.004045482834509503,6,0.5,0.5,33.36206896551724,33.36206896551724,1.0
58,0.3448275862068966,0.9377845220030349,-1.4137931034482758,-20.0,-82.0,-0.02755805777346096,10,0.5,1.0,33.36206896551724,66.67241379310344,2.0
58,0.4827586206896552,0.8753637245392822,-4.431034482758621,-21.0,-257.0,-0.05790379818935872,4,1.0,1.0,66.67241379310344,66.67241379310344,1.0
58,0.4827586206896552,0.8234905971626526,-9.224137931034482,-25.0,-535.0,-0.08341239681685177,5,1.5,1.5,100.05172413793103,100.05172413793103,1.0
58,0.2413793103448276,0.8217105263157894,-4.672413793103448,-25.0,-271.0,-0.07961918304861071,12,0.5,1.5,33.36206896551724,100.05172413793103,3.0
58,0.3620689655172414,0.8181454836131095,-7.844827586206897,-41.5,-455.0,-0.08432266415184995,5,1.0,1.5,66.67241379310344,100.05172413793103,1.5
58,0.5862068965517241,0.8040357004268529,-8.706896551724139,35.5,-505.0,-0.0922629135384798,4,1.5,1.0,100.05172413793103,66.67241379310344,0.6666666666666666
58,0.5344827586206896,0.7794245858761988,-13.086206896551724,48.0,-759.0,-0.1032050509562095,5,2.0,1.5,133.43103448275863,100.05172413793103,0.75
58,0.1724137931034483,0.7312156383628589,-7.586206896551724,-27.0,-440.0,-0.1172896639443123,13,0.5,2.0,33.36206896551724,133.43103448275863,4.0
58,0.6206896551724138,0.7191758059155866,-14.568965517241379,36.0,-845.0,-0.13170947132767505,4,2.0,1.0,133.43103448275863,66.67241379310344,0.5
58,0.39655172413793105,0.6280011570726063,-22.17241379310345,-48.0,-1286.0,-0.20830641023767255,8,1.5,2.0,100.05172413793103,133.43103448275863,1.3333333333333333
58,0.4482758620689655,0.6054609218436874,-27.155172413793103,-39.0,-1575.0,-0.2163422192852077,7,2.0,2.0,133.43103448275863,133.43103448275863,1.0
58,0.25862068965517243,0.5254118471784087,-23.344827586206897,-52.0,-1354.0,-0.2826469145688663,8,1.0,2.0,66.67241379310344,133.43103448275863,2.0
