trade_count,win_rate,profit_factor,expectancy_ticks,median_ticks,net_ticks,sharpe,max_consecutive_losses,sl_ticks,tp_ticks,r_multiple
58,0.13793103448275862,2.4,6.0344827586206895,-5.0,350.0,0.21685602495744688,15,5,75,15.0
58,0.10344827586206896,2.3076923076923075,5.862068965517241,-5.0,340.0,0.18173381856559342,15,5,100,20.0
58,0.06896551724137931,2.2222222222222223,5.689655172413793,-5.0,330.0,0.1436080539903899,21,5,150,30.0
58,0.05172413793103448,1.9127272727272728,4.327586206896552,-5.0,251.0,0.10535985006107194,23,5,200,40.0
58,0.13793103448275862,1.6,2.586206896551724,-5.0,150.0,0.13518297659685002,15,5,50,10.0
58,0.2413793103448276,1.5909090909090908,4.482758620689655,-10.0,260.0,0.1730833022760862,13,10,50,5.0
58,0.1724137931034483,1.5625,4.655172413793103,-10.0,270.0,0.14373007454129377,14,10,75,7.5
58,0.3793103448275862,1.5277777777777777,6.551724137931035,-20.0,380.0,0.19122576053816562,6,20,50,2.5
58,0.1206896551724138,1.5137254901960784,6.775862068965517,-15.0,393.0,0.10767740415745733,17,15,200,13.333333333333334
58,0.3103448275862069,1.5,5.172413793103448,-15.0,300.0,0.17051597824535988,7,15,50,3.3333333333333335
58,0.46551724137931033,1.4516129032258065,7.241379310344827,-30.0,420.0,0.17989537807370237,6,30,50,1.6666666666666667
58,0.6896551724137931,1.4459259259259258,10.379310344827585,50.0,602.0,0.17860112059718647,6,75,50,0.6666666666666666
58,0.22413793103448276,1.4444444444444444,5.172413793103448,-15.0,300.0,0.13662313396656606,8,15,75,5.0
58,0.13793103448275862,1.4426666666666668,5.724137931034483,-15.0,332.0,0.10547665145764738,17,15,150,10.0
58,0.27586206896551724,1.4285714285714286,6.206896551724138,-20.0,360.0,0.14491645112472712,8,20,75,3.75
58,0.08620689655172414,1.4150943396226414,3.793103448275862,-10.0,220.0,0.08373426108921096,18,10,150,15.0
58,0.1206896551724138,1.3725490196078431,3.2758620689655173,-10.0,190.0,0.09062546308855443,14,10,100,10.0
58,0.06896551724137931,1.3444444444444446,3.206896551724138,-10.0,186.0,0.06455158996912838,20,10,200,20.0
58,0.5689655172413793,1.32,6.896551724137931,50.0,400.0,0.13805636938774915,6,50,50,1.0
58,0.15517241379310345,1.316326530612245,5.344827586206897,-20.0,310.0,0.08170927708262335,13,20,200,10.0
58,0.3448275862068966,1.3157894736842106,6.206896551724138,-30.0,360.0,0.12329056323909879,8,30,75,2.5
58,0.46551724137931033,1.3064516129032258,3.2758620689655173,-20.0,190.0,0.13020998793906077,6,20,30,1.5
58,0.7241379310344828,1.2825,7.793103448275862,50.0,452.0,0.1156148136880631,5,100,50,0.5
58,0.1724137931034483,1.2645833333333334,4.379310344827586,-20.0,254.0,0.07673297596849113,13,20,150,7.5
58,0.7586206896551724,1.2571428571428571,4.655172413793103,30.0,270.0,0.10270877277921601,4,75,30,0.4
58,0.29310344827586204,1.2439024390243902,1.7241379310344827,-10.0,100.0,0.09387437329595234,8,10,30,3.0
58,0.5517241379310345,1.2307692307692308,3.103448275862069,30.0,180.0,0.10310578251130197,6,30,30,1.0
58,0.20689655172413793,1.2297101449275363,5.4655172413793105,-30.0,317.0,0.07018431954636166,10,30,200,6.666666666666667
58,0.15517241379310345,1.2244897959183674,2.8448275862068964,-15.0,165.0,0.06773142926798695,12,15,100,6.666666666666667
58,0.27586206896551724,1.1793650793650794,3.896551724137931,-30.0,226.0,0.06872963250040172,9,30,100,3.3333333333333335
58,0.7931034482758621,1.15,3.103448275862069,30.0,180.0,0.058422891158318405,4,100,30,0.3
58,0.1896551724137931,1.147872340425532,2.396551724137931,-20.0,139.0,0.0512362442740571,12,20,100,5.0
58,0.8103448275862069,1.1393939393939394,1.9827586206896552,20.0,115.0,0.05277793507881562,4,75,20,0.26666666666666666
58,0.3620689655172414,1.135135135135135,1.293103448275862,-15.0,75.0,0.05927364998320164,7,15,30,2.0
58,0.22413793103448276,1.1266666666666667,2.9482758620689653,-30.0,171.0,0.0442866339171954,10,30,150,5.0
58,0.5344827586206896,1.1120987654320988,3.913793103448276,75.0,227.0,0.05225603088624,7,75,75,1.0
58,0.15517241379310345,1.1020408163265305,0.43103448275862066,-5.0,25.0,0.033719109808738094,14,5,30,6.0
58,0.8448275862068966,1.0888888888888888,1.3793103448275863,20.0,80.0,0.03147116915482223,4,100,20,0.2
58,0.41379310344827586,1.0588235294117647,1.7241379310344827,-50.0,100.0,0.027763124374801725,7,50,75,1.5
58,0.6379310344827587,1.0571428571428572,1.0344827586206897,30.0,60.0,0.026673142492440738,4,50,30,0.6
58,0.4827586206896552,1.048888888888889,1.896551724137931,-75.0,110.0,0.022814016613570375,8,75,100,1.3333333333333333
58,0.5862068965517241,0.9444444444444444,-0.6896551724137931,20.0,-40.0,-0.027763124374801728,6,30,20,0.6666666666666666
58,0.4827586206896552,0.9333333333333333,-0.6896551724137931,-20.0,-40.0,-0.03420454266491889,6,20,20,1.0
58,0.5517241379310345,0.9143418467583497,-3.7586206896551726,75.0,-218.0,-0.043498368200661754,6,100,75,0.75
58,0.6896551724137931,0.8888888888888888,-1.7241379310344827,20.0,-100.0,-0.052778755171182815,4,50,20,0.4
