trade_count,win_rate,profit_factor,expectancy_ticks,median_ticks,net_ticks,sharpe,max_consecutive_losses,sl_ticks,tp_ticks,r_multiple
16,0.875,3.5,31.25,50.0,500.0,0.6099375455928332,1,100,50,0.5
16,0.9375,3.0,12.5,20.0,200.0,0.4166666666666667,1,100,20,0.2
16,0.6875,2.4052478134110786,30.125,75.0,482.0,0.43571423672269516,3,75,75,1.0
16,0.5,2.250996015936255,39.25,35.5,628.0,0.36345604898897804,3,75,150,2.0
16,0.9375,2.25,7.8125,15.0,125.0,0.2717391304347826,1,100,15,0.15
16,0.5625,2.107728337236534,29.5625,100.0,473.0,0.35154954223095625,3,75,100,1.3333333333333333
16,0.875,2.1,13.75,30.0,220.0,0.3096606000702076,1,100,30,0.3
16,0.75,2.0,18.75,50.0,300.0,0.33541019662496846,2,75,50,0.6666666666666666
16,0.0625,2.0,4.6875,-5.0,75.0,0.12096774193548387,14,5,150,30.0
16,0.6875,1.8623024830699775,23.875,75.0,382.0,0.3006317423779309,3,100,75,0.75
16,0.5,1.7331288343558282,29.875,35.5,478.0,0.2515633012215841,3,100,150,1.5
16,0.1875,1.7307692307692308,11.875,-20.0,190.0,0.17328382038198242,10,20,150,7.5
16,0.3125,1.7045454545454546,9.6875,-20.0,155.0,0.21301607899841973,6,20,75,3.75
16,0.25,1.6666666666666667,10.0,-20.0,160.0,0.18633899812498247,7,20,100,5.0
16,0.5625,1.6304347826086956,21.75,100.0,348.0,0.22980965834269582,3,100,100,1.0
16,0.3125,1.6181229773462784,11.9375,-30.0,191.0,0.19399085725722814,7,30,100,3.3333333333333335
16,0.25,1.5634218289085546,11.9375,-30.0,191.0,0.1618495290235691,8,30,150,5.0
16,0.375,1.5,9.375,-30.0,150.0,0.17857142857142858,6,30,75,2.5
16,0.375,1.5,6.25,-20.0,100.0,0.17857142857142858,5,20,50,2.5
16,0.9375,1.5,3.125,10.0,50.0,0.11363636363636363,1,100,10,0.1
16,0.375,1.48159509202454,19.625,-59.0,314.0,0.16408811255233094,3,75,200,2.6666666666666665
16,0.125,1.4285714285714286,3.75,-10.0,60.0,0.09980796200609997,10,10,100,10.0
16,0.3125,1.3359528487229861,10.6875,-50.0,171.0,0.11966280181884512,6,50,150,3.0
16,0.0625,1.3333333333333333,1.5625,-5.0,25.0,0.05952380952380952,14,5,100,20.0
16,0.375,1.3071895424836601,8.8125,-50.0,141.0,0.11967318424486287,5,50,100,2.0
16,0.4375,1.2962962962962963,5.0,-30.0,80.0,0.12198750911856665,5,30,50,1.6666666666666667
16,0.5625,1.2857142857142858,6.25,50.0,100.0,0.12198750911856664,2,50,50,1.0
16,0.75,1.2,3.75,30.0,60.0,0.07985957062499249,2,75,30,0.4
16,0.4375,1.1666666666666667,4.6875,-50.0,75.0,0.07319250547113999,5,50,75,1.5
