label,cohort,n,wr_5b,avg_5b,median_5b,sharpe_5b,wr_10b,avg_10b,median_10b,sharpe_10b,wr_15b,avg_15b,median_15b,sharpe_15b,wr_30b,avg_30b,median_30b,sharpe_30b,category,signal_id,score_tier,combo_name,gap_bars,combo_type,n_signals,filter
category=exhaustion,raw_family,152490,0.5016919364146687,0.19243809348932375,0.25,0.005687166853186196,0.49914745153589885,-0.02632735237795441,0.0,-0.0005467706750385828,0.4996720838416034,0.13680334212148637,0.0,0.002307893012201728,0.5017022086074687,0.317634094024887,0.25,0.0037536955201773127,exhaustion,,,,,,,
category=absorption,raw_family,901,0.462819089900111,-0.8102108768035516,-1.5,-0.010691167280573947,0.4738598442714127,-1.0725806451612903,-1.25,-0.011161604654715456,0.4638487208008899,-4.164905450500556,-3.0,-0.03796285437374061,0.4560622914349277,-5.7791991101223585,-4.25,-0.04170393957155045,absorption,,,,,,,
category=absorption | signal_id=ABS_04,raw_signal,41,0.5365853658536586,49.94512195121951,16.25,0.36915133908201153,0.6341463414634146,50.72560975609756,17.75,0.3432425998244713,0.5853658536585366,43.0609756097561,21.0,0.2958875729399474,0.5365853658536586,31.853658536585368,3.5,0.19423463561194182,absorption,ABS_04,,,,,,
category=exhaustion | signal_id=EXH_04,raw_signal,466,0.48283261802575106,0.1400214592274678,-0.5,0.005662216846953666,0.5042918454935622,1.5665236051502145,0.375,0.04128525012922738,0.4892703862660944,-1.8293991416309012,-0.25,-0.034295140915512015,0.463519313304721,3.4163090128755367,-3.0,0.038614438003270954,exhaustion,EXH_04,,,,,,
category=exhaustion | signal_id=EXH_02,raw_signal,9735,0.49419619928094505,-0.04275808936825886,-0.25,-0.001256108986204324,0.5012327922745018,0.73356276967331,0.25,0.014922916779535868,0.5018491884117526,0.21263098417916582,0.25,0.0035015749105074255,0.49984585345802074,0.04601274278080362,0.0,0.0005337612526334075,exhaustion,EXH_02,,,,,,
category=exhaustion | signal_id=EXH_03,raw_signal,62716,0.5038428421086201,0.2831225882578053,0.25,0.008219422498863206,0.50061390780221,0.040725208489467896,0.25,0.0008428322394369206,0.5003348748206028,0.304102216552384,0.25,0.005152542855145553,0.5016188455956235,0.8243871513102282,0.25,0.009833175235061825,exhaustion,EXH_03,,,,,,
category=exhaustion | signal_id=EXH_05,raw_signal,27134,0.4960197538144026,0.1399074961303162,0.0,0.0041313149988804945,0.4972911215125493,-0.008679467806729813,0.0,-0.00017969173568769202,0.5008477075040543,0.35694014447884415,0.25,0.0059216706094000334,0.5030595694485402,0.5952337068711294,0.5,0.007002312158432049,exhaustion,EXH_05,,,,,,
category=exhaustion | signal_id=EXH_01,raw_signal,52439,0.5036137226110338,0.1552947233928946,0.25,0.004689680746166959,0.4979213547427438,-0.2708627331324612,0.0,-0.005671288751679341,0.497959417194294,-0.17378327866351362,0.0,-0.002953631745460516,0.5017835002384359,-0.40920362422508344,0.25,-0.004813378004169379,exhaustion,EXH_01,,,,,,
category=absorption | signal_id=ABS_03,raw_signal,858,0.4592074592074592,-2.837121212121212,-1.75,-0.04048546201045216,0.4661214953271028,-3.229264018691589,-1.5,-0.03514833907452888,0.45794392523364486,-6.071261682242991,-3.625,-0.056870237910849004,0.45210280373831774,-7.201810747663552,-4.625,-0.052750082359429656,absorption,ABS_03,,,,,,
category=absorption | signal_id=ABS_01,raw_signal,2,0.5,-171.75,-171.75,-0.6989674225541844,0.5,-139.875,-139.875,-0.6304800702372484,0.5,-156.375,-156.375,-0.5666819879976752,0.5,-168.375,-168.375,-0.48719838069477217,absorption,ABS_01,,,,,,
