signal_id,cat,n,n_train,n_test,pf_all,pf_train,pf_test,wf_pass
ABS_04,absorption,41,29,12,3.937,3.16,6.191,True
VOLP_06,volume_profile,32,23,9,1.766,2.95,0.423,False
AUCT_03,auction,46,29,17,1.443,1.696,1.201,True
EXH_03,exhaustion,62714,43445,19269,1.027,1.034,1.014,False
DELT_04,delta,20669,14394,6275,1.019,1.082,0.896,False
EXH_01,exhaustion,52439,35530,16909,1.013,1.031,0.979,False
EXH_05,exhaustion,27134,18902,8232,1.011,1.037,0.959,False
DELT_01,delta,87419,62707,24712,1.002,0.997,1.013,False
IMB_03,imbalance,118235,82966,35269,0.995,0.998,0.988,False
IMB_05,imbalance,60517,42297,18220,0.994,1.008,0.966,False
EXH_02,exhaustion,9735,6649,3086,0.992,0.967,1.045,False
AUCT_01,auction,212664,147334,65330,0.99,0.991,0.986,False
IMB_07,imbalance,60512,42629,17883,0.989,1.001,0.962,False
IMB_08,imbalance,122050,85243,36807,0.987,0.986,0.987,False
IMB_09,imbalance,53265,37376,15889,0.984,0.982,0.99,False
AUCT_04,auction,126130,88329,37801,0.98,0.969,1.002,False
IMB_01,imbalance,127219,89206,38013,0.97,0.973,0.962,False
IMB_06,imbalance,125822,88117,37705,0.968,0.973,0.958,False
ENG_05,other,127356,89276,38080,0.968,0.977,0.95,False
VOLP_03,volume_profile,1565,1067,498,0.967,0.952,1.002,False
DELT_02,delta,9826,6962,2864,0.966,0.938,1.034,False
AUCT_02,auction,76470,56517,19953,0.965,0.969,0.955,False
AUCT_05,auction,3145,2431,714,0.947,0.947,0.944,False
DELT_10,delta,20947,14870,6077,0.943,0.977,0.868,False
ENG_06,poc,4259,3107,1152,0.943,1.003,0.821,False
IMB_02,imbalance,8521,5962,2559,0.932,0.975,0.84,False
ABS_03,absorption,858,552,306,0.827,0.702,1.083,False
EXH_04,exhaustion,466,168,298,0.0,0.0,0.0,False
IMB_04,imbalance,61498,43063,18435,0.0,0.0,0.0,False
REGIME_CHANGE,other,931,661,270,0.0,0.0,0.0,False
