bar_ts,session,side,entry,exit,exit_reason,pnl,cum_pnl,signal_type,score
2026-01-02 10:31:00,2026-01-02,SHORT,25712.0,25697.0,TARGET,299.3,299.3,both,58.5
2026-01-05 15:11:00,2026-01-05,LONG,25601.75,25593.75,STOP,-160.7,138.6,both,54.0
2026-01-06 09:50:00,2026-01-06,LONG,25608.25,25623.25,TARGET,299.3,437.9,both,65.0
2026-01-06 10:35:00,2026-01-06,LONG,25651.25,25666.25,TARGET,299.3,737.2,both,59.1
2026-01-07 10:28:00,2026-01-07,LONG,25787.0,25779.0,STOP,-160.7,576.5,both,56.6
2026-01-07 10:30:00,2026-01-07,SHORT,25777.0,25785.0,STOP,-160.7,415.8,both,64.4
2026-01-07 10:33:00,2026-01-07,SHORT,25799.0,25807.0,STOP,-160.7,255.1,both,60.0
2026-01-07 11:39:00,2026-01-07,LONG,25852.5,25867.5,TARGET,299.3,554.4,both,60.5
2026-01-07 13:52:00,2026-01-07,LONG,25971.25,25963.25,STOP,-160.7,393.7,both,56.8
2026-01-07 13:56:00,2026-01-07,SHORT,25967.25,25952.25,TARGET,299.3,693.0,both,54.1
2026-01-07 15:13:00,2026-01-07,LONG,25913.75,25905.75,STOP,-160.7,532.3,both,53.6
2026-01-08 10:29:00,2026-01-08,LONG,25786.75,25778.75,STOP,-160.7,371.6,both,58.4
2026-01-09 10:32:00,2026-01-09,LONG,25671.0,25686.0,TARGET,299.3,670.9,both,56.6
2026-01-09 10:38:00,2026-01-09,SHORT,25765.5,25750.5,TARGET,299.3,970.2,both,51.2
2026-01-09 14:36:00,2026-01-09,SHORT,25937.75,25945.75,STOP,-160.7,809.5,both,50.7
2026-01-12 10:32:00,2026-01-12,SHORT,25830.5,25838.5,STOP,-160.7,648.8,both,63.3
2026-01-12 11:24:00,2026-01-12,SHORT,25918.5,25926.5,STOP,-160.7,488.1,both,52.6
2026-01-12 15:27:00,2026-01-12,SHORT,25997.5,26005.5,STOP,-160.7,327.4,both,51.4
2026-01-13 10:30:00,2026-01-13,LONG,25972.5,25964.5,STOP,-160.7,166.7,both,57.8
2026-01-13 12:27:00,2026-01-13,LONG,25892.5,25907.5,TARGET,299.3,466.0,both,65.0
2026-01-13 13:31:00,2026-01-13,LONG,25960.0,25952.0,STOP,-160.7,305.3,both,65.0
2026-01-14 09:45:00,2026-01-14,LONG,25753.25,25745.25,STOP,-160.7,144.6,both,55.2
2026-01-14 10:32:00,2026-01-14,LONG,25690.25,25705.25,TARGET,299.3,443.9,both,63.1
2026-01-14 12:28:00,2026-01-14,SHORT,25573.25,25581.25,STOP,-160.7,283.2,both,52.3
2026-01-15 11:24:00,2026-01-15,SHORT,25897.0,25882.0,TARGET,299.3,582.5,both,53.9
2026-01-15 11:56:00,2026-01-15,LONG,25840.25,25855.25,TARGET,299.3,881.8,both,52.1
2026-01-15 14:31:00,2026-01-15,SHORT,25898.5,25906.5,STOP,-160.7,721.1,both,56.2
2026-01-15 14:51:00,2026-01-15,LONG,25885.75,25877.75,STOP,-160.7,560.4,both,50.3
2026-01-15 15:04:00,2026-01-15,LONG,25843.5,25835.5,STOP,-160.7,399.7,both,50.8
2026-01-16 10:25:00,2026-01-16,LONG,25840.0,25855.0,TARGET,299.3,699.0,both,65.0
2026-01-16 10:30:00,2026-01-16,LONG,25883.0,25875.0,STOP,-160.7,538.3,both,65.0
2026-01-16 13:31:00,2026-01-16,LONG,25688.0,25703.0,TARGET,299.3,837.6,both,51.2
2026-01-16 13:46:00,2026-01-16,LONG,25685.25,25677.25,STOP,-160.7,676.9,both,54.2
2026-01-19 11:55:00,2026-01-19,LONG,25320.25,25312.25,STOP,-160.7,516.2,both,51.7
2026-01-19 13:45:00,2026-01-19,SHORT,25409.5,25394.75,FLATTEN,294.3,810.5,both,55.9
2026-01-20 09:34:00,2026-01-20,LONG,25217.0,25209.0,STOP,-160.7,649.8,both,56.7
2026-01-20 14:40:00,2026-01-20,LONG,25216.5,25208.5,STOP,-160.7,489.1,both,57.0
2026-01-21 10:20:00,2026-01-21,LONG,25208.0,25223.0,TARGET,299.3,788.4,both,52.8
2026-01-21 10:30:00,2026-01-21,LONG,25213.0,25205.0,STOP,-160.7,627.7,both,63.4
2026-01-21 12:32:00,2026-01-21,LONG,25432.75,25424.75,STOP,-160.7,467.0,both,55.5
2026-01-22 10:24:00,2026-01-22,LONG,25715.5,25730.5,TARGET,299.3,766.3,both,51.0
2026-01-22 10:29:00,2026-01-22,LONG,25729.25,25721.25,STOP,-160.7,605.6,both,54.7
2026-01-22 10:32:00,2026-01-22,LONG,25690.25,25682.25,STOP,-160.7,444.9,both,55.8
2026-01-23 10:29:00,2026-01-23,SHORT,25607.75,25615.75,STOP,-160.7,284.2,both,59.9
2026-01-23 14:45:00,2026-01-23,LONG,25725.75,25740.75,TARGET,299.3,583.5,both,53.4
2026-01-26 09:37:00,2026-01-26,LONG,25673.5,25665.5,STOP,-160.7,422.8,both,54.0
2026-01-26 12:00:00,2026-01-26,LONG,25890.75,25882.75,STOP,-160.7,262.1,both,51.2
2026-01-27 10:30:00,2026-01-27,LONG,25981.25,25996.25,TARGET,299.3,561.4,both,65.0
2026-01-27 10:32:00,2026-01-27,SHORT,25993.75,25978.75,TARGET,299.3,860.7,both,61.1
2026-01-27 14:02:00,2026-01-27,LONG,26050.75,26065.75,TARGET,299.3,1160.0,both,59.9
2026-01-28 09:41:00,2026-01-28,LONG,26264.75,26279.75,TARGET,299.3,1459.3,both,52.2
2026-01-28 15:00:00,2026-01-28,LONG,26182.75,26174.75,STOP,-160.7,1298.6,both,50.7
2026-01-29 10:05:00,2026-01-29,LONG,26158.25,26173.25,TARGET,299.3,1597.9,both,59.1
