bar_ts,session,side,entry,exit,exit_reason,pnl,cum_pnl,signal_type,score
2026-01-02 10:31:00,2026-01-02,SHORT,25712.0,25692.0,TARGET,399.3,399.3,both,58.5
2026-01-05 15:11:00,2026-01-05,LONG,25601.75,25591.75,STOP,-200.7,198.6,both,54.0
2026-01-06 09:50:00,2026-01-06,LONG,25608.25,25598.25,STOP,-200.7,-2.1,both,65.0
2026-01-06 10:35:00,2026-01-06,LONG,25651.25,25671.25,TARGET,399.3,397.2,both,59.1
2026-01-07 10:28:00,2026-01-07,LONG,25787.0,25777.0,STOP,-200.7,196.5,both,56.6
2026-01-07 10:30:00,2026-01-07,SHORT,25777.0,25787.0,STOP,-200.7,-4.2,both,64.4
2026-01-07 10:33:00,2026-01-07,SHORT,25799.0,25809.0,STOP,-200.7,-204.9,both,60.0
2026-01-07 11:39:00,2026-01-07,LONG,25852.5,25872.5,TARGET,399.3,194.4,both,60.5
2026-01-07 13:52:00,2026-01-07,LONG,25971.25,25961.25,STOP,-200.7,-6.3,both,56.8
2026-01-07 13:56:00,2026-01-07,SHORT,25967.25,25947.25,TARGET,399.3,393.0,both,54.1
2026-01-07 15:13:00,2026-01-07,LONG,25913.75,25903.75,STOP,-200.7,192.3,both,53.6
2026-01-08 10:29:00,2026-01-08,LONG,25786.75,25776.75,STOP,-200.7,-8.4,both,58.4
2026-01-09 10:32:00,2026-01-09,LONG,25671.0,25691.0,TARGET,399.3,390.9,both,56.6
2026-01-09 10:38:00,2026-01-09,SHORT,25765.5,25745.5,TARGET,399.3,790.2,both,51.2
2026-01-09 14:36:00,2026-01-09,SHORT,25937.75,25947.75,STOP,-200.7,589.5,both,50.7
2026-01-12 10:32:00,2026-01-12,SHORT,25830.5,25840.5,STOP,-200.7,388.8,both,63.3
2026-01-12 11:24:00,2026-01-12,SHORT,25918.5,25928.5,STOP,-200.7,188.1,both,52.6
2026-01-12 15:27:00,2026-01-12,SHORT,25997.5,26007.5,STOP,-200.7,-12.6,both,51.4
2026-01-13 10:30:00,2026-01-13,LONG,25972.5,25962.5,STOP,-200.7,-213.3,both,57.8
2026-01-13 12:27:00,2026-01-13,LONG,25892.5,25912.5,TARGET,399.3,186.0,both,65.0
2026-01-13 13:31:00,2026-01-13,LONG,25960.0,25950.0,STOP,-200.7,-14.7,both,65.0
2026-01-14 09:45:00,2026-01-14,LONG,25753.25,25743.25,STOP,-200.7,-215.4,both,55.2
2026-01-14 10:32:00,2026-01-14,LONG,25690.25,25710.25,TARGET,399.3,183.9,both,63.1
2026-01-14 12:28:00,2026-01-14,SHORT,25573.25,25583.25,STOP,-200.7,-16.8,both,52.3
2026-01-15 11:24:00,2026-01-15,SHORT,25897.0,25877.0,TARGET,399.3,382.5,both,53.9
2026-01-15 11:56:00,2026-01-15,LONG,25840.25,25860.25,TARGET,399.3,781.8,both,52.1
2026-01-15 14:31:00,2026-01-15,SHORT,25898.5,25908.5,STOP,-200.7,581.1,both,56.2
2026-01-15 14:51:00,2026-01-15,LONG,25885.75,25875.75,STOP,-200.7,380.4,both,50.3
2026-01-15 15:04:00,2026-01-15,LONG,25843.5,25833.5,STOP,-200.7,179.7,both,50.8
2026-01-16 10:25:00,2026-01-16,LONG,25840.0,25860.0,TARGET,399.3,579.0,both,65.0
2026-01-16 10:30:00,2026-01-16,LONG,25883.0,25873.0,STOP,-200.7,378.3,both,65.0
2026-01-16 13:31:00,2026-01-16,LONG,25688.0,25708.0,TARGET,399.3,777.6,both,51.2
2026-01-16 13:46:00,2026-01-16,LONG,25685.25,25675.25,STOP,-200.7,576.9,both,54.2
2026-01-19 11:55:00,2026-01-19,LONG,25320.25,25340.25,TARGET,399.3,976.2,both,51.7
