bar_ts,session,side,entry,exit,exit_reason,pnl,cum_pnl,signal_type,score
2026-01-02 10:31:00,2026-01-02,SHORT,25712.0,25717.0,STOP,-100.7,-100.7,both,58.5
2026-01-05 15:11:00,2026-01-05,LONG,25601.75,25596.75,STOP,-100.7,-201.4,both,54.0
2026-01-06 09:50:00,2026-01-06,LONG,25608.25,25603.25,STOP,-100.7,-302.1,both,65.0
2026-01-06 10:35:00,2026-01-06,LONG,25651.25,25668.75,TARGET,349.3,47.2,both,59.1
2026-01-07 10:28:00,2026-01-07,LONG,25787.0,25782.0,STOP,-100.7,-53.5,both,56.6
2026-01-07 10:30:00,2026-01-07,SHORT,25777.0,25782.0,STOP,-100.7,-154.2,both,64.4
2026-01-07 10:33:00,2026-01-07,SHORT,25799.0,25804.0,STOP,-100.7,-254.9,both,60.0
2026-01-07 11:39:00,2026-01-07,LONG,25852.5,25870.0,TARGET,349.3,94.4,both,60.5
2026-01-07 13:52:00,2026-01-07,LONG,25971.25,25966.25,STOP,-100.7,-6.3,both,56.8
2026-01-07 13:56:00,2026-01-07,SHORT,25967.25,25972.25,STOP,-100.7,-107.0,both,54.1
2026-01-07 15:13:00,2026-01-07,LONG,25913.75,25908.75,STOP,-100.7,-207.7,both,53.6
2026-01-08 10:29:00,2026-01-08,LONG,25786.75,25781.75,STOP,-100.7,-308.4,both,58.4
2026-01-09 10:32:00,2026-01-09,LONG,25671.0,25688.5,TARGET,349.3,40.9,both,56.6
2026-01-09 10:38:00,2026-01-09,SHORT,25765.5,25748.0,TARGET,349.3,390.2,both,51.2
2026-01-09 14:36:00,2026-01-09,SHORT,25937.75,25942.75,STOP,-100.7,289.5,both,50.7
2026-01-12 10:32:00,2026-01-12,SHORT,25830.5,25835.5,STOP,-100.7,188.8,both,63.3
2026-01-12 11:24:00,2026-01-12,SHORT,25918.5,25923.5,STOP,-100.7,88.1,both,52.6
2026-01-12 15:27:00,2026-01-12,SHORT,25997.5,26002.5,STOP,-100.7,-12.6,both,51.4
2026-01-13 10:30:00,2026-01-13,LONG,25972.5,25967.5,STOP,-100.7,-113.3,both,57.8
2026-01-13 12:27:00,2026-01-13,LONG,25892.5,25910.0,TARGET,349.3,236.0,both,65.0
2026-01-13 13:31:00,2026-01-13,LONG,25960.0,25955.0,STOP,-100.7,135.3,both,65.0
2026-01-14 09:45:00,2026-01-14,LONG,25753.25,25748.25,STOP,-100.7,34.6,both,55.2
2026-01-14 10:32:00,2026-01-14,LONG,25690.25,25707.75,TARGET,349.3,383.9,both,63.1
2026-01-14 12:28:00,2026-01-14,SHORT,25573.25,25578.25,STOP,-100.7,283.2,both,52.3
2026-01-15 11:24:00,2026-01-15,SHORT,25897.0,25879.5,TARGET,349.3,632.5,both,53.9
2026-01-15 11:56:00,2026-01-15,LONG,25840.25,25835.25,STOP,-100.7,531.8,both,52.1
2026-01-15 14:31:00,2026-01-15,SHORT,25898.5,25903.5,STOP,-100.7,431.1,both,56.2
