trade_date_et,level_price,level_type,touch_index_in_session,touch_timestamp_utc,touch_timestamp_et,approach_side,outcome,resolve_timestamp_utc,bars_to_resolution,message_count,cluster_type_count,cluster_types,cluster_level_count,has_absorption_cluster,second_touch_after_bounce,test_number_bucket,level_type_label,rounded_level_price,strength_score
2025-01-02,21121.75,session_level,1,2025-01-02 17:30:00+00:00,2025-01-02 12:30:00-05:00,from_above,bounce,2025-01-02 17:31:00+00:00,1.0,1,1,session_level,1,False,False,1,Session,21121.75,47.5568604759956
2025-01-02,21121.75,session_level,2,2025-01-02 19:27:00+00:00,2025-01-02 14:27:00-05:00,from_below,bounce,2025-01-02 19:28:00+00:00,1.0,1,1,session_level,1,False,True,2,Session,21121.75,49.28646363076732
2025-01-02,21121.75,session_level,3,2025-01-02 19:48:00+00:00,2025-01-02 14:48:00-05:00,from_below,bounce,2025-01-02 19:49:00+00:00,1.0,1,1,session_level,1,False,False,3+,Session,21121.75,51.660151830053124
2025-01-02,21121.75,session_level,4,2025-01-02 19:53:00+00:00,2025-01-02 14:53:00-05:00,from_above,bounce,2025-01-02 19:54:00+00:00,1.0,1,1,session_level,1,False,False,3+,Session,21121.75,51.660151830053124
2025-01-02,21121.75,session_level,5,2025-01-02 20:04:00+00:00,2025-01-02 15:04:00-05:00,from_below,bounce,2025-01-02 20:05:00+00:00,1.0,1,1,session_level,1,False,False,3+,Session,21121.75,51.660151830053124
2025-01-02,21121.75,session_level,6,2025-01-02 20:37:00+00:00,2025-01-02 15:37:00-05:00,from_above,bounce,2025-01-02 20:38:00+00:00,1.0,1,1,session_level,1,False,False,3+,Session,21121.75,51.660151830053124
2025-01-02,21121.75,session_level,7,2025-01-02 20:39:00+00:00,2025-01-02 15:39:00-05:00,from_above,bounce,2025-01-02 20:40:00+00:00,1.0,1,1,session_level,1,False,False,3+,Session,21121.75,51.660151830053124
2025-01-02,21320.5,session_level,1,2025-01-02 14:30:00+00:00,2025-01-02 09:30:00-05:00,from_above,bounce,2025-01-02 14:31:00+00:00,1.0,1,1,session_level,1,False,False,1,Session,21320.5,47.5568604759956
2025-01-02,21320.5,session_level,2,2025-01-02 14:33:00+00:00,2025-01-02 09:33:00-05:00,from_above,break,2025-01-02 14:34:00+00:00,1.0,1,1,session_level,1,False,True,2,Session,21320.5,49.28646363076732
2025-01-02,21320.5,session_level,3,2025-01-02 14:50:00+00:00,2025-01-02 09:50:00-05:00,from_below,bounce,2025-01-02 14:51:00+00:00,1.0,1,1,session_level,1,False,False,3+,Session,21320.5,51.660151830053124
2025-01-02,21320.5,session_level,4,2025-01-02 14:52:00+00:00,2025-01-02 09:52:00-05:00,from_below,break,2025-01-02 14:53:00+00:00,1.0,1,1,session_level,1,False,False,3+,Session,21320.5,51.660151830053124
2025-01-02,21320.5,session_level,5,2025-01-02 15:20:00+00:00,2025-01-02 10:20:00-05:00,from_above,break,2025-01-02 15:21:00+00:00,1.0,1,1,session_level,1,False,False,3+,Session,21320.5,51.660151830053124
2025-01-02,21320.5,session_level,6,2025-01-02 15:52:00+00:00,2025-01-02 10:52:00-05:00,from_below,bounce,2025-01-02 15:53:00+00:00,1.0,1,1,session_level,1,False,False,3+,Session,21320.5,51.660151830053124
2025-01-02,21320.5,session_level,7,2025-01-02 15:55:00+00:00,2025-01-02 10:55:00-05:00,from_below,bounce,2025-01-02 15:56:00+00:00,1.0,1,1,session_level,1,False,False,3+,Session,21320.5,51.660151830053124
2025-01-02,21320.5,session_level,8,2025-01-02 16:39:00+00:00,2025-01-02 11:39:00-05:00,from_below,bounce,2025-01-02 16:40:00+00:00,1.0,1,1,session_level,1,False,False,3+,Session,21320.5,51.660151830053124
2025-01-02,21320.5,session_level,9,2025-01-02 16:48:00+00:00,2025-01-02 11:48:00-05:00,from_below,break,2025-01-02 16:49:00+00:00,1.0,1,1,session_level,1,False,False,3+,Session,21320.5,51.660151830053124
