analysis,param,trades,win_rate,avg_pnl_ticks,sharpe,profit_factor,delta_sharpe,verdict
drop_one,EXH-02,27,0.7778,13.4271,25.4137,9.4572,21.3667,NOISE
drop_one,DELT-04,68,0.7500,10.3965,20.2580,5.7375,16.2109,NOISE
drop_one,AUCT-01,87,0.6897,4.2778,4.0471,1.5423,0.0000,NEUTRAL
drop_one,DELT-01,87,0.6897,4.2778,4.0471,1.5423,0.0000,NEUTRAL
drop_one,DELT-03,87,0.6897,4.2778,4.0471,1.5423,0.0000,NEUTRAL
drop_one,IMB-01,87,0.6897,4.2778,4.0471,1.5423,0.0000,NEUTRAL
drop_one,VOLP-03,87,0.6897,4.2778,4.0471,1.5423,0.0000,NEUTRAL
drop_one,EXH-01,69,0.6957,3.0714,2.6668,1.3294,-1.3803,ALPHA
drop_one,ABS-01,0,0.0000,0.0000,0.0000,0.0000,-4.0471,ALPHA
drop_one,IMB-03,10,0.0000,-53.7082,-204.7940,0.0000,-208.8411,ALPHA
min_signals,1,87,0.6897,4.2778,4.0471,1.5423,0.0000,
min_signals,2,87,0.6897,4.2778,4.0471,1.5423,0.0000,
min_signals,3,87,0.6897,4.2778,4.0471,1.5423,0.0000,
min_signals,4,73,0.7671,11.2444,21.8007,6.5006,17.7537,
min_signals,5,41,0.7073,9.0066,16.8515,4.5698,12.8044,
min_signals,6,0,0.0000,0.0000,0.0000,0.0000,-4.0471,
recency,1,87,0.6897,4.2778,4.0471,,0.0000,
recency,2,87,0.6897,4.2778,4.0471,,0.0000,
recency,3,87,0.6897,4.2778,4.0471,,0.0000,
recency,5,87,0.6897,4.2778,4.0471,,0.0000,
recency,8,87,0.6897,4.2778,4.0471,,0.0000,
recency,unlimited,87,0.6897,4.2778,4.0471,,0.0000,
min_categories,1,87,0.6897,4.2778,4.0471,,0.0000,
min_categories,2,87,0.6897,4.2778,4.0471,,0.0000,
min_categories,3,87,0.6897,4.2778,4.0471,,0.0000,
min_categories,4,87,0.6897,4.2778,4.0471,,0.0000,
min_categories,5,0,0.0000,0.0000,0.0000,,-4.0471,
