weight_profile,entry_threshold,stop_ticks,target_ticks,trailing_stop,volp03_veto,slow_grind_veto,rr_ratio,total_trades,win_rate,profit_factor,max_drawdown,sharpe,avg_pnl,net_pnl,sharpe_trend_up,sharpe_trend_down,sharpe_ranging,sharpe_volatile,sharpe_slow_grind,pnl_trend_up,pnl_trend_down,pnl_ranging,pnl_volatile,pnl_slow_grind
current,40,12,24,False,False,False,2.0,190,0.9210526315789473,31.374374456221066,81.21180318390543,32.03193118181518,89.14698024900089,16937.92624731017,41.303343618357786,17.775505515565627,204.76667078703426,0.0,0.0,3508.881721785765,4626.083920122292,8802.960605402113,0.0,0.0
current,40,12,24,False,False,True,2.0,138,0.9130434782608695,25.537296470754725,81.21180318390543,29.428637542798345,84.62474748625527,11678.215153103229,36.762971311177424,18.525960925371106,194.97605989572116,0.0,0.0,2799.393104967421,4050.1207424654785,4828.701305670329,0.0,0.0
current,40,12,24,False,True,False,2.0,26,0.9230769230769231,29.995214277138185,71.58830098502222,30.4017383620721,88.22605907031594,2293.8775358282146,59.1084696324606,14.121858745503703,230.81887768756775,0.0,0.0,633.5777548145779,528.9133983699503,1131.3863826436864,0.0,0.0
current,40,12,24,False,True,True,2.0,21,0.9523809523809523,250.82755121757998,7.523979886682355,41.413244271586464,89.50940335715131,1879.6974705001776,59.1084696324606,25.083870470102195,161.14230276531148,0.0,0.0,633.5777548145779,600.5016993549725,645.6180163306271,0.0,0.0
current,40,12,24,True,False,False,2.0,197,0.8578680203045685,15.950003533442331,115.38239129928115,24.607885879705673,81.31563608186109,16019.180308126633,20.22359345506136,14.464716891836614,204.76667078703426,0.0,0.0,2991.5989098188948,4224.620792905625,8802.960605402113,0.0,0.0
current,40,12,24,True,False,True,2.0,142,0.8450704225352113,13.815854345961942,115.38239129928115,22.74856022031309,76.02272120807369,10795.226411546464,21.147881126593454,14.744762169250288,194.97605989572116,0.0,0.0,2365.653382973287,3600.871722902848,4828.701305670329,0.0,0.0
current,40,12,24,True,True,False,2.0,27,0.8888888888888888,24.082063586254947,61.588300985022215,28.435834163504886,84.955799292344,2293.806580893288,48.67619692477271,13.009134973934342,230.81887768756775,0.0,0.0,658.5067998796512,503.9133983699503,1131.3863826436864,0.0,0.0
current,40,12,24,True,True,True,2.0,22,0.9090909090909091,50.47692535230026,37.78784761285351,34.473848156415436,84.98302343478413,1869.6265155652509,48.67619692477271,20.111910805867748,161.14230276531148,0.0,0.0,658.5067998796512,565.5016993549725,645.6180163306271,0.0,0.0
current,40,12,32,False,False,False,2.667,173,0.9248554913294798,34.45350798411633,79.82674453254731,33.840585661093826,105.54405733742287,18259.121919374156,40.75871450440819,17.46462897876005,257.6472183808547,0.0,0.0,3854.8620277721056,4321.299286199937,10082.960605402113,0.0,0.0
current,40,12,32,False,False,True,2.667,129,0.9147286821705426,28.96265015825132,79.82674453254731,30.69250344062069,102.1209716120899,13173.605337959598,38.052041820095894,18.20902393272922,300.4412091910176,0.0,0.0,3351.893104967421,3978.0109273218477,5843.701305670329,0.0,0.0
current,40,12,32,False,True,False,2.667,26,0.9230769230769231,34.41930616456071,71.58830098502222,30.732199801748987,101.68759753185441,2643.8775358282146,53.245869036851545,14.312470396841142,259.4478647683039,0.0,0.0,763.5777548145779,598.9133983699503,1281.3863826436864,0.0,0.0
current,40,12,32,False,True,True,2.667,21,0.9523809523809523,297.3454852460201,7.523979886682355,39.22454481598667,106.17607002381799,2229.6974705001776,53.245869036851545,23.670673261477432,319.32734134580363,0.0,0.0,763.5777548145779,670.5016993549725,795.6180163306271,0.0,0.0
current,40,12,32,True,False,False,2.667,185,0.8702702702702703,19.375209157788873,115.38239129928115,26.031434125003212,95.25088066120676,17621.412922323252,22.316329248581635,14.320258344415947,257.6472183808547,0.0,0.0,3406.2562147405333,4132.1961021806055,10082.960605402113,0.0,0.0
current,40,12,32,True,False,True,2.667,137,0.8540145985401459,16.84914343307539,115.38239129928115,23.811040680368237,90.71705536897042,12428.236585548948,22.12123895365595,15.052144996050805,300.4412091910176,0.0,0.0,2838.153382973287,3746.381896905332,5843.701305670329,0.0,0.0
current,40,12,32,True,True,False,2.667,27,0.8888888888888888,27.176367444259093,61.588300985022215,28.35983531948005,96.34468818123288,2601.306580893288,41.45295683594617,13.291810874436138,259.4478647683039,0.0,0.0,746.0067998796512,573.9133983699503,1281.3863826436864,0.0,0.0
current,40,12,32,True,True,True,2.667,22,0.9090909090909091,58.614462137946774,37.78784761285351,32.86978979999393,98.96029616205686,2177.126515565251,41.45295683594617,19.686248807458238,319.32734134580363,0.0,0.0,746.0067998796512,635.5016993549725,795.6180163306271,0.0,0.0
current,40,12,40,False,False,False,3.333,167,0.9221556886227545,37.077810928952545,81.21180318390543,33.57656931769895,121.00080346141254,20207.134178055894,40.2076272436334,16.56598353019801,333.02542208239606,0.0,0.0,4152.003868133397,4367.169704520384,11687.960605402113,0.0,0.0
current,40,12,40,False,False,True,3.333,121,0.9173553719008265,36.14580433709915,81.21180318390543,32.22465764835113,117.83843464637108,14258.450592210902,37.21744596810715,18.888611417603343,300.0828986610776,0.0,0.0,3566.5349453287126,4013.2143412118603,6678.701305670329,0.0,0.0
current,40,12,40,False,True,False,3.333,26,0.9230769230769231,39.475411178757874,71.58830098502222,31.134018929666947,117.0722129164698,3043.8775358282146,51.07270820404501,14.726826173590183,418.88159627558656,0.0,0.0,856.0777548145779,676.4133983699503,1511.3863826436864,0.0,0.0
current,40,12,40,False,True,True,3.333,21,0.9523809523809523,333.23074863938814,7.523979886682355,38.52329907789639,119.03321288096083,2499.6974705001776,51.07270820404501,23.351753415043486,266.99796663329136,0.0,0.0,856.0777548145779,748.0016993549725,895.6180163306271,0.0,0.0
current,40,12,40,True,False,False,3.333,178,0.8707865168539326,22.915158233019426,115.38239129928115,26.772697220469844,109.52897417890608,19496.15740384528,22.0790435251962,14.40945799341762,333.02542208239606,0.0,0.0,3656.88368837069,4151.313110072479,11687.960605402113,0.0,0.0
current,40,12,40,True,False,True,3.333,130,0.8538461538461538,19.78624640810502,115.38239129928115,24.355611258713374,103.29551827726755,13428.417376044781,21.861417362734176,15.09064853210444,300.0828986610776,0.0,0.0,3041.2808566034437,3708.4352137710084,6678.701305670329,0.0,0.0
current,40,12,40,True,True,False,3.333,27,0.8888888888888888,30.748653199028105,61.588300985022215,28.098077546792005,109.49283632938103,2956.306580893288,37.07323857016454,13.35665135393149,418.88159627558656,0.0,0.0,833.5067998796512,611.4133983699503,1511.3863826436864,0.0,0.0
current,40,12,40,True,True,True,3.333,22,0.9090909090909091,64.56875734695642,37.78784761285351,31.77949671271878,109.18756888932958,2402.126515565251,37.07323857016454,19.368002328195864,266.99796663329136,0.0,0.0,833.5067998796512,673.0016993549725,895.6180163306271,0.0,0.0
current,40,16,24,False,False,False,1.5,190,0.9315789473684211,34.8725644735186,99.82674453254731,33.41028236056217,90.4892461252231,17192.95676379239,69.15579214659817,17.67140795994461,204.76667078703426,0.0,0.0,3678.4307954465476,4711.565362943729,8802.960605402113,0.0,0.0
current,40,16,24,False,False,True,1.5,138,0.927536231884058,30.079910450243954,99.82674453254731,31.35956572609518,86.58149035931484,11948.245669585449,62.35945502599001,18.662194508651314,194.97605989572116,0.0,0.0,2968.9421786282037,4150.602185286916,4828.701305670329,0.0,0.0
current,40,16,24,False,True,False,1.5,26,0.9230769230769231,25.21445442316735,86.58830098502222,28.870393028506545,87.64913599339287,2278.8775358282146,59.1084696324606,12.978569577235854,230.81887768756775,0.0,0.0,633.5777548145779,513.9133983699503,1131.3863826436864,0.0,0.0
current,40,16,24,False,True,True,1.5,21,0.9523809523809523,250.82755121757998,7.523979886682355,41.413244271586464,89.50940335715131,1879.6974705001776,59.1084696324606,25.083870470102195,161.14230276531148,0.0,0.0,633.5777548145779,600.5016993549725,645.6180163306271,0.0,0.0
current,40,16,24,True,False,False,1.5,191,0.9162303664921466,21.379374983359686,97.70382908725878,30.66225756170229,89.43051960244426,17081.229244066853,37.72834705496145,16.84903048422913,204.76667078703426,0.0,0.0,3614.187607220738,4664.081031444002,8802.960605402113,0.0,0.0
current,40,16,24,True,False,True,1.5,138,0.8985507246376812,16.70957912878517,97.70382908725878,27.009186429199534,83.62100401679592,11539.698554317838,33.072981404991594,16.616531732350136,194.97605989572116,0.0,0.0,2799.76025773165,3911.2369909158588,4828.701305670329,0.0,0.0
current,40,16,24,True,True,False,1.5,26,0.8846153846153846,13.657493711928119,86.58830098502222,23.63791018731484,82.45682830108518,2143.8775358282146,43.945449819937096,9.60452489134105,230.81887768756775,0.0,0.0,578.5777548145779,433.9133983699503,1131.3863826436864,0.0,0.0
current,40,16,24,True,True,True,1.5,21,0.9047619047619048,22.07431852388561,82.78784761285351,28.619026206475713,83.08083192857988,1744.6974705001776,43.945449819937096,15.683863760325835,161.14230276531148,0.0,0.0,578.5777548145779,520.5016993549725,645.6180163306271,0.0,0.0
current,40,16,32,False,False,False,2.0,173,0.9364161849710982,38.023150475476655,99.82674453254731,35.4653426714085,107.16273084310045,18539.152435856377,64.07999185476507,17.42419708556896,257.6472183808547,0.0,0.0,4046.9111014328882,4409.280729021375,10082.960605402113,0.0,0.0
current,40,16,32,False,False,True,2.0,129,0.9302325581395349,33.76615412957692,99.82674453254731,32.768431718508275,104.40802987939394,13468.635854441818,60.43743386561662,18.40150514667261,300.4412091910176,0.0,0.0,3543.9421786282037,4080.9923701432854,5843.701305670329,0.0,0.0
current,40,16,32,False,True,False,2.0,26,0.9230769230769231,28.933416462533135,86.58830098502222,29.424714222852582,101.11067445493133,2628.8775358282146,53.245869036851545,13.306589232360972,259.4478647683039,0.0,0.0,763.5777548145779,583.9133983699503,1281.3863826436864,0.0,0.0
current,40,16,32,False,True,True,2.0,21,0.9523809523809523,297.3454852460201,7.523979886682355,39.22454481598667,106.17607002381799,2229.6974705001776,53.245869036851545,23.670673261477432,319.32734134580363,0.0,0.0,763.5777548145779,670.5016993549725,795.6180163306271,0.0,0.0
current,40,16,32,True,False,False,2.0,179,0.9217877094972067,25.443620427566653,97.70382908725878,32.01465621999329,104.45768989735411,18697.926491626386,37.29118915852653,16.85806332602755,257.6472183808547,0.0,0.0,3987.6679132070785,4627.297973017194,10082.960605402113,0.0,0.0
current,40,16,32,True,False,True,2.0,132,0.9015151515151515,20.448394010264543,97.70382908725878,28.26028960875934,99.94598335662913,13192.869803075046,34.24621646857205,16.66224992146985,300.4412091910176,0.0,0.0,3362.26025773165,3986.9082396730664,5843.701305670329,0.0,0.0
current,40,16,32,True,True,False,2.0,26,0.8846153846153846,15.517259697916247,86.58830098502222,24.241273914938972,94.5722129164698,2458.8775358282146,38.928987970363316,10.088872734773377,259.4478647683039,0.0,0.0,678.5777548145779,498.9133983699503,1281.3863826436864,0.0,0.0
current,40,16,32,True,True,True,2.0,21,0.9047619047619048,25.87922478830567,82.78784761285351,28.454106495657697,98.08083192857988,2059.6974705001776,38.928987970363316,15.732811779982958,319.32734134580363,0.0,0.0,678.5777548145779,585.5016993549725,795.6180163306271,0.0,0.0
current,40,16,40,False,False,False,2.5,167,0.9341317365269461,41.63987096460222,99.82674453254731,35.37182968816701,122.90218379962943,20524.664694538114,60.73722007270749,16.749085568058295,333.02542208239606,0.0,0.0,4361.55294179418,4475.151147341821,11687.960605402113,0.0,0.0
current,40,16,40,False,False,True,2.5,121,0.9338842975206612,46.55355001538525,99.82674453254731,35.19689302673763,120.71058767514977,14605.981108693122,56.60351975263212,19.665658292443755,300.0828986610776,0.0,0.0,3776.0840189894952,4151.195784033298,6678.701305670329,0.0,0.0
current,40,16,40,False,True,False,2.5,26,0.9230769230769231,33.18365879323689,86.58830098502222,30.006696052386086,116.49528983954671,3028.8775358282146,51.07270820404501,13.807805980696118,418.88159627558656,0.0,0.0,856.0777548145779,661.4133983699503,1511.3863826436864,0.0,0.0
current,40,16,40,False,True,True,2.5,21,0.9523809523809523,333.23074863938814,7.523979886682355,38.52329907789639,119.03321288096083,2499.6974705001776,51.07270820404501,23.351753415043486,266.99796663329136,0.0,0.0,856.0777548145779,748.0016993549725,895.6180163306271,0.0,0.0
current,40,16,40,True,False,False,2.5,169,0.9230769230769231,29.781954352677666,97.70382908725878,33.4511055408805,121.03994359285429,20455.750467192374,36.31737644618744,16.985803320825614,333.02542208239606,0.0,0.0,4242.30975356837,4525.480108221891,11687.960605402113,0.0,0.0
current,40,16,40,True,False,True,2.5,123,0.8943089430894309,22.272613178240654,97.70382908725878,28.330117073279485,113.25532219452755,13930.404629926888,32.93941223086921,15.90447022928204,300.0828986610776,0.0,0.0,3509.4020980929417,3742.3012261636177,6678.701305670329,0.0,0.0
current,40,16,40,True,True,False,2.5,26,0.8846153846153846,17.81982710913964,86.58830098502222,24.978965081683278,109.5722129164698,2848.8775358282146,36.41194663427121,10.753420989488538,418.88159627558656,0.0,0.0,761.0777548145779,576.4133983699503,1511.3863826436864,0.0,0.0
current,40,16,40,True,True,True,2.5,21,0.9047619047619048,29.019782339890487,82.78784761285351,28.63387227677753,110.46178430953226,2319.6974705001776,36.41194663427121,16.231728686010726,266.99796663329136,0.0,0.0,761.0777548145779,663.0016993549725,895.6180163306271,0.0,0.0
current,40,20,24,False,False,False,1.2,188,0.9414893617021277,47.01723507139367,114.91235363180749,36.37740170507894,92.16642821308655,17327.28850406027,69.15579214659817,19.800929828720037,204.76667078703426,0.0,0.0,3678.4307954465476,4845.89710321161,8802.960605402113,0.0,0.0
current,40,20,24,False,False,True,1.2,136,0.9411764705882353,48.50448809912197,112.70382908725878,35.90194926486245,89.01423834012108,12105.936414256466,62.35945502599001,22.21778521852828,194.97605989572116,0.0,0.0,2968.9421786282037,4308.292929957934,4828.701305670329,0.0,0.0
current,40,20,24,False,True,False,1.2,26,0.9230769230769231,19.922293480853234,111.58830098502222,26.507076065905753,86.68759753185441,2253.8775358282146,59.1084696324606,11.279209941459252,230.81887768756775,0.0,0.0,633.5777548145779,488.9133983699503,1131.3863826436864,0.0,0.0
current,40,20,24,False,True,True,1.2,21,0.9523809523809523,250.82755121757998,7.523979886682355,41.413244271586464,89.50940335715131,1879.6974705001776,59.1084696324606,25.083870470102195,161.14230276531148,0.0,0.0,633.5777548145779,600.5016993549725,645.6180163306271,0.0,0.0
current,40,20,24,True,False,False,1.2,187,0.9518716577540107,27.60837504636502,112.70382908725878,36.36608123012658,94.38336712763618,17649.689652867964,127.41378098308721,19.09726421661017,204.76667078703426,0.0,0.0,3832.4012040811795,5014.327843384672,8802.960605402113,0.0,0.0
current,40,20,24,True,False,True,1.2,135,0.9481481481481482,24.576561280618133,112.70382908725878,34.25005536563624,90.7636866354792,12253.097695789693,116.12684591703979,19.951258525645883,194.97605989572116,0.0,0.0,3122.9125872628356,4301.483802856528,4828.701305670329,0.0,0.0
current,40,20,24,True,True,False,1.2,26,0.8846153846153846,11.551023446826163,102.78784761285351,22.381837874660615,82.93759753185441,2156.3775358282146,52.37496638809164,8.21297426994823,230.81887768756775,0.0,0.0,626.0777548145779,398.9133983699503,1131.3863826436864,0.0,0.0
current,40,20,24,True,True,True,1.2,21,0.9047619047619048,18.241313167438737,102.78784761285351,27.6469841826384,84.3903557381037,1772.1974705001776,52.37496638809164,14.092660361335488,161.14230276531148,0.0,0.0,626.0777548145779,500.5016993549725,645.6180163306271,0.0,0.0
current,40,20,32,False,False,False,1.6,172,0.9476744186046512,52.23780250116961,112.70382908725878,39.04690240015293,109.09042001536427,18763.552242642654,64.07999185476507,20.015622362019947,257.6472183808547,0.0,0.0,4046.9111014328882,4633.680535807653,10082.960605402113,0.0,0.0
current,40,20,32,False,False,True,1.6,128,0.9453125,55.565199925254944,112.70382908725878,37.65041917385138,107.217927075244,13723.894665631233,60.43743386561662,22.33186944658002,300.4412091910176,0.0,0.0,3543.9421786282037,4336.2511813327,5843.701305670329,0.0,0.0
current,40,20,32,False,True,False,1.6,26,0.9230769230769231,22.86069745933958,111.58830098502222,27.365931178884285,100.14913599339287,2603.8775358282146,53.245869036851545,11.777180564239183,259.4478647683039,0.0,0.0,763.5777548145779,558.9133983699503,1281.3863826436864,0.0,0.0
current,40,20,32,False,True,True,1.6,21,0.9523809523809523,297.3454852460201,7.523979886682355,39.22454481598667,106.17607002381799,2229.6974705001776,53.245869036851545,23.670673261477432,319.32734134580363,0.0,0.0,763.5777548145779,670.5016993549725,795.6180163306271,0.0,0.0
current,40,20,32,True,False,False,1.6,175,0.96,37.03616807059072,112.70382908725878,40.418247109007496,111.21620491226224,19462.835859645893,118.09390468399067,20.6156084868258,257.6472183808547,0.0,0.0,4250.88151006752,5128.9937441762595,10082.960605402113,0.0,0.0
current,40,20,32,True,False,True,1.6,130,0.9538461538461539,33.26195995952571,112.70382908725878,37.54323696314704,108.82292019070435,14146.979624791566,112.67321779782024,21.330181425084813,300.4412091910176,0.0,0.0,3747.9125872628356,4555.365731858401,5843.701305670329,0.0,0.0
current,40,20,32,True,True,False,1.6,26,0.8846153846153846,13.177925618538072,102.78784761285351,23.176209674624566,95.72605907031594,2488.8775358282146,48.53456108403636,8.561950352016824,259.4478647683039,0.0,0.0,756.0777548145779,451.4133983699503,1281.3863826436864,0.0,0.0
current,40,20,32,True,True,True,1.6,21,0.9047619047619048,21.476131365523287,102.78784761285351,27.81464677463667,100.22368907143702,2104.6974705001776,48.53456108403636,13.955468184270089,319.32734134580363,0.0,0.0,756.0777548145779,553.0016993549725,795.6180163306271,0.0,0.0
current,40,20,40,False,False,False,2.0,164,0.9573170731707317,82.6993984459749,112.70382908725878,42.81669665241144,126.9586816379138,20821.223788617863,60.73722007270749,21.97423861699368,333.02542208239606,0.0,0.0,4361.55294179418,4771.71024142157,11687.960605402113,0.0,0.0
current,40,20,40,False,False,True,2.0,118,0.9576271186440678,106.38385150416272,112.70382908725878,42.94642496453801,125.17463104530118,14770.606463345539,56.60351975263212,25.746440298379376,300.0828986610776,0.0,0.0,3776.0840189894952,4315.821138685715,6678.701305670329,0.0,0.0
current,40,20,40,False,True,False,2.0,26,0.9230769230769231,26.21887343475255,111.58830098502222,28.204567070352788,115.53375137800825,3003.8775358282146,51.07270820404501,12.389808918616533,418.88159627558656,0.0,0.0,856.0777548145779,636.4133983699503,1511.3863826436864,0.0,0.0
current,40,20,40,False,True,True,2.0,21,0.9523809523809523,333.23074863938814,7.523979886682355,38.52329907789639,119.03321288096083,2499.6974705001776,51.07270820404501,23.351753415043486,266.99796663329136,0.0,0.0,856.0777548145779,748.0016993549725,895.6180163306271,0.0,0.0
current,40,20,40,True,False,False,2.0,167,0.9520958083832335,34.976537503089844,112.70382908725878,38.339134735818845,126.40564268391233,21109.74232821336,112.36341462639426,18.104173393552283,333.02542208239606,0.0,0.0,4595.523350428812,4826.2583723824355,11687.960605402113,0.0,0.0
current,40,20,40,True,False,True,2.0,122,0.9426229508196722,29.571062731616912,112.70382908725878,34.54975639686893,121.71160744545514,14848.816108345527,104.36632066323173,18.155181928298738,300.0828986610776,0.0,0.0,4010.054427624127,4160.060375051071,6678.701305670329,0.0,0.0
current,40,20,40,True,True,False,2.0,26,0.8846153846153846,15.135101163454655,102.78784761285351,24.24163985040308,111.11067445493133,2888.8775358282146,47.11328993700072,9.291519242285332,418.88159627558656,0.0,0.0,848.5777548145779,528.9133983699503,1511.3863826436864,0.0,0.0
current,40,20,40,True,True,True,2.0,21,0.9047619047619048,24.102901030133296,102.78784761285351,28.41117999787922,113.08083192857988,2374.6974705001776,47.11328993700072,14.555004903900663,266.99796663329136,0.0,0.0,848.5777548145779,630.5016993549725,895.6180163306271,0.0,0.0
current,50,12,24,False,False,False,2.0,118,0.8983050847457628,24.89609136309154,79.82674453254731,27.9032185283132,82.25597768603096,9706.205366951654,37.46926064762821,19.623733867770884,182.27468321379143,0.0,0.0,2900.6127272401864,4078.5279241755416,2727.0647155359256,0.0,0.0
current,50,12,24,False,False,True,2.0,86,0.8953488372093024,22.324006416849105,79.82674453254731,27.244515690153122,80.45657783419597,6919.265693740854,32.38223330285414,21.96153055208866,159.30927000066612,0.0,0.0,2188.9387561643525,3552.1181273066395,1178.2088102698617,0.0,0.0
