signal_id,category,fire_count,fire_rate_pct,primary_trades,primary_win_rate,primary_avg_pnl_ticks,primary_avg_win_ticks,primary_avg_loss_ticks,primary_snr,cooccur_trades,cooccur_win_rate,cooccur_avg_pnl_ticks
ABS-01,absorption,1929,9.89,3,33.3,8.8,33.32,3.47,4.807,13,92.3,22.03
AUCT-01,auction,193,0.99,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
DELT-01,informational,1288,6.61,0,0.0,0.0,0.0,0.0,0.0,16,81.2,19.55
DELT-03,informational,154,0.79,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
DELT-04,delta,280,1.44,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
EXH-01,exhaustion,217,1.11,0,0.0,0.0,0.0,0.0,0.0,3,33.3,8.8
EXH-02,exhaustion,422,2.16,13,92.3,22.03,24.23,4.34,67.035,0,0.0,0.0
IMB-01,informational,3140,16.1,0,0.0,0.0,0.0,0.0,0.0,8,75.0,15.93
IMB-03,informational,2259,11.58,0,0.0,0.0,0.0,0.0,0.0,16,81.2,19.55
VOLP-03,informational,408,2.09,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
MIXED,informational,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
