sig_a,sig_b,co_trade_count,wins,losses,win_rate_pct,avg_pnl_ticks
ABS-01,IMB-03,87,60,27,69.0,4.28
ABS-01,DELT-01,78,51,27,65.4,2.18
DELT-01,IMB-03,78,51,27,65.4,2.18
ABS-01,EXH-02,60,39,21,65.0,0.16
DELT-01,EXH-02,60,39,21,65.0,0.16
EXH-02,IMB-03,60,39,21,65.0,0.16
ABS-01,IMB-01,46,34,12,73.9,10.5
IMB-01,IMB-03,46,34,12,73.9,10.5
DELT-01,IMB-01,41,29,12,70.7,9.01
EXH-02,IMB-01,28,22,6,78.6,10.6
ABS-01,DELT-04,24,12,12,50.0,-12.24
DELT-04,IMB-03,24,12,12,50.0,-12.24
ABS-01,EXH-01,18,12,6,66.7,8.9
DELT-01,EXH-01,18,12,6,66.7,8.9
EXH-01,IMB-03,18,12,6,66.7,8.9
DELT-01,DELT-04,15,3,12,20.0,-33.07
DELT-04,EXH-02,14,3,11,21.4,-35.23
EXH-01,IMB-01,13,7,6,53.8,5.58
ABS-01,VOLP-03,10,0,10,0.0,-53.71
DELT-01,VOLP-03,10,0,10,0.0,-53.71
DELT-04,VOLP-03,10,0,10,0.0,-53.71
EXH-02,VOLP-03,10,0,10,0.0,-53.71
IMB-03,VOLP-03,10,0,10,0.0,-53.71
DELT-04,IMB-01,7,6,1,85.7,18.79
DELT-04,EXH-01,1,0,1,0.0,-2.76
