score_entry_threshold,min_tier,stop_loss_ticks,target_ticks,exit_on_opposing_score,max_bars_in_trade,total_trades,win_rate,profit_factor,max_drawdown_dollars,sharpe,avg_pnl_per_trade,net_pnl
40,0,8,16,0.3,15,329,0.7386018237082067,6.2180776279656795,726.8768645339878,13.309569012787525,46.908914737646576,15433.032948685723
40,0,8,16,0.3,30,304,0.7730263157894737,7.103655801966601,696.2255101325718,15.678431315012626,55.98153427117531,17018.386418437294
40,0,8,16,0.3,60,298,0.785234899328859,7.153748732898812,502.398646080037,16.494515999967852,59.2348976332073,17651.999494695774
40,0,8,16,0.5,15,328,0.7378048780487805,6.250497188924879,716.730685766961,13.359347546525996,47.082863193453505,15443.17912745275
40,0,8,16,0.5,30,303,0.7722772277227723,6.974362025351362,686.0793313655449,15.616787006577466,56.03476104687895,16978.53259720432
40,0,8,16,0.5,60,297,0.7912457912457912,7.051188485879374,406.4962633340474,16.569342811863567,59.706740328086745,17732.901877441764
40,0,8,16,0.7,15,328,0.7378048780487805,6.250497188924879,716.730685766961,13.359347546525996,47.082863193453505,15443.17912745275
40,0,8,16,0.7,30,303,0.7722772277227723,6.974362025351362,686.0793313655449,15.616787006577466,56.03476104687895,16978.53259720432
40,0,8,16,0.7,60,297,0.7912457912457912,7.051188485879374,406.4962633340474,16.569342811863567,59.706740328086745,17732.901877441764
40,0,8,24,0.3,15,329,0.7386018237082067,8.158834553977018,726.8768645339878,13.95776452820382,64.35572324828487,21173.032948685723
40,0,8,24,0.3,30,288,0.7673611111111112,9.830729502246626,696.2255101325718,17.122855149943288,82.36725165891205,23721.768477766673
40,0,8,24,0.3,60,279,0.7813620071684588,10.207976515983075,598.6344769781135,18.588323159477376,88.7117572903597,24750.580284010357
40,0,8,24,0.5,15,328,0.7378048780487805,8.20202890501136,716.730685766961,14.007588209078428,64.5828631934535,21183.17912745275
40,0,8,24,0.5,30,287,0.7665505226480837,9.643206381560491,686.0793313655449,17.09938740145647,82.51538207851463,23681.9146565337
