entry_time,exit_time,zone_kind,zone_timeframe,zone_score,zone_score_at_entry,entry_price,exit_price,direction,stop_price,target_price,pnl_ticks,pnl_dollars,exit_reason,bars_held,mae_ticks,mfe_ticks
2025-01-02 15:15:00+00:00,2025-01-02 15:15:00+00:00,RBR,5,6,6,21370.0,21372.5,long,21368.5,21372.5,8.0,36.0,target,1,53.0,253.0
2025-01-02 16:50:00+00:00,2025-01-02 16:50:00+00:00,RBR,5,7,7,21292.0,21294.5,long,21290.5,21294.5,8.0,36.0,target,1,12.0,262.0
2025-01-02 17:00:00+00:00,2025-01-02 17:00:00+00:00,RBR,5,7,7,21292.0,21294.5,long,21290.5,21294.5,8.0,36.0,target,1,5.0,180.0
2025-01-02 17:05:00+00:00,2025-01-02 17:05:00+00:00,RBR,5,7,6,21292.0,21294.5,long,21290.5,21294.5,8.0,36.0,target,1,48.0,176.0
2025-01-02 17:25:00+00:00,2025-01-02 17:25:00+00:00,RBR,15,5,4,21186.25,21188.75,long,21184.75,21188.75,8.0,36.0,target,1,171.0,237.0
2025-01-02 17:55:00+00:00,2025-01-02 17:55:00+00:00,DBD,5,6,7,21076.75,21074.25,short,21078.25,21074.25,8.0,36.0,target,1,64.0,143.0
2025-01-02 18:00:00+00:00,2025-01-02 18:00:00+00:00,DBD,5,6,6,21076.75,21074.25,short,21078.25,21074.25,8.0,36.0,target,1,5.0,326.0
2025-01-03 15:20:00+00:00,2025-01-03 15:20:00+00:00,RBR,5,5,5,21277.75,21280.25,long,21276.25,21280.25,8.0,36.0,target,1,65.0,213.0
2025-01-03 16:55:00+00:00,2025-01-03 16:55:00+00:00,RBR,5,5,5,21466.0,21468.5,long,21464.5,21468.5,8.0,36.0,target,1,26.0,95.0
2025-01-03 19:00:00+00:00,2025-01-03 19:00:00+00:00,DBD,5,7,7,21525.75,21523.25,short,21527.25,21523.25,8.0,36.0,target,1,1.0,116.0
2025-01-03 19:05:00+00:00,2025-01-03 19:05:00+00:00,DBD,5,7,7,21525.75,21523.25,short,21527.25,21523.25,8.0,36.0,target,1,34.0,34.0
2025-01-03 19:50:00+00:00,2025-01-03 19:50:00+00:00,RBR,5,5,6,21533.25,21535.75,long,21531.75,21535.75,8.0,36.0,target,1,18.0,52.0
2025-01-03 19:55:00+00:00,2025-01-03 19:55:00+00:00,RBR,5,5,5,21533.25,21535.75,long,21531.75,21535.75,8.0,36.0,target,1,12.0,27.0
2025-01-06 17:40:00+00:00,2025-01-06 17:40:00+00:00,RBR,15,3,4,21786.0,21788.5,long,21784.5,21788.5,8.0,36.0,target,1,41.0,103.0
2025-01-06 20:45:00+00:00,2025-01-06 20:45:00+00:00,RBR,5,4,4,21684.0,21686.5,long,21682.5,21686.5,8.0,36.0,target,1,22.0,157.0
2025-01-06 20:50:00+00:00,2025-01-06 20:50:00+00:00,DBD,5,7,7,21733.5,21731.0,short,21735.0,21731.0,8.0,36.0,target,1,42.0,245.0
2025-01-07 14:35:00+00:00,2025-01-07 14:35:00+00:00,RBR,5,5,5,21717.5,21720.0,long,21716.0,21720.0,8.0,36.0,target,1,89.0,141.0
2025-01-07 17:55:00+00:00,2025-01-07 17:55:00+00:00,DBD,5,4,4,21439.5,21437.0,short,21441.0,21437.0,8.0,36.0,target,1,38.0,115.0
2025-01-07 20:40:00+00:00,2025-01-07 20:40:00+00:00,DBD,5,4,4,21352.5,21350.0,short,21354.0,21350.0,8.0,36.0,target,1,18.0,135.0
2025-01-07 20:50:00+00:00,2025-01-07 20:50:00+00:00,DBD,5,4,5,21352.5,21350.0,short,21354.0,21350.0,8.0,36.0,target,1,52.0,96.0
2025-01-08 17:05:00+00:00,2025-01-08 17:05:00+00:00,RBR,5,4,5,21319.0,21321.5,long,21317.5,21321.5,8.0,36.0,target,1,38.0,124.0
2025-01-08 17:10:00+00:00,2025-01-08 17:10:00+00:00,RBR,5,4,4,21319.0,21321.5,long,21317.5,21321.5,8.0,36.0,target,1,142.0,44.0
2025-01-08 18:00:00+00:00,2025-01-08 18:00:00+00:00,DBD,5,6,7,21303.5,21301.0,short,21305.0,21301.0,8.0,36.0,target,1,110.0,155.0
2025-01-08 18:15:00+00:00,2025-01-08 18:15:00+00:00,DBD,5,3,4,21350.0,21347.5,short,21351.5,21347.5,8.0,36.0,target,1,47.0,66.0
2025-01-08 18:25:00+00:00,2025-01-08 18:25:00+00:00,DBD,5,4,4,21392.25,21389.75,short,21393.75,21389.75,8.0,36.0,target,1,63.0,119.0
2025-01-08 18:50:00+00:00,2025-01-08 18:50:00+00:00,RBR,5,5,5,21337.75,21340.25,long,21336.25,21340.25,8.0,36.0,target,1,223.0,57.0
2025-01-08 19:30:00+00:00,2025-01-08 19:30:00+00:00,RBR,5,5,5,21364.0,21366.5,long,21362.5,21366.5,8.0,36.0,target,1,47.0,215.0
2025-01-08 20:20:00+00:00,2025-01-08 20:20:00+00:00,DBD,15,7,7,21356.0,21353.5,short,21357.5,21353.5,8.0,36.0,target,1,2.0,85.0
2025-01-08 20:25:00+00:00,2025-01-08 20:25:00+00:00,DBD,15,7,6,21356.0,21353.5,short,21357.5,21353.5,8.0,36.0,target,1,10.0,73.0
2025-01-10 15:35:00+00:00,2025-01-10 15:35:00+00:00,DBD,5,5,6,21069.5,21067.0,short,21071.0,21067.0,8.0,36.0,target,1,63.0,189.0
2025-01-10 15:45:00+00:00,2025-01-10 15:45:00+00:00,DBD,5,5,5,21123.5,21121.0,short,21125.0,21121.0,8.0,36.0,target,1,0.0,314.0
2025-01-10 15:50:00+00:00,2025-01-10 15:50:00+00:00,RBR,5,4,4,21042.0,21044.5,long,21040.5,21044.5,8.0,36.0,target,1,127.0,255.0
2025-01-10 15:55:00+00:00,2025-01-10 15:55:00+00:00,RBR,5,4,5,21005.5,21008.0,long,21004.0,21008.0,8.0,36.0,target,1,89.0,173.0
