rank,trial_number,fitness,oos_sharpe,oos_win_rate,oos_trades,oos_total_pnl,is_sharpe,is_win_rate,is_trades,is_overfit,small_body_ratio,min_zone_ticks,max_zone_age_bars_5m,max_zone_age_bars_15m,max_touch_count,min_score,stop_ticks,target_ticks,breakeven_ticks,trail_ticks,trail_activation_ticks,rth_only
1,31,125.72853759398569,126.58383376809445,0.9932432432432432,296,19336.0,71.99976774573939,0.9796954314720813,985,False,0.45,5,180,30,2,5,4,16,8,0,10,True
2,16,113.30816042840979,113.75077043008326,0.9961089494163424,514,18344.0,71.48263865522416,0.9903439951719976,1657,False,0.65,2,20,20,3,4,6,10,4,4,6,True
3,1,110.34714025367566,110.76354455651972,0.9962406015037594,266,14766.0,45.481570401116834,0.9790979097909791,909,False,0.2,1,80,40,3,4,12,14,10,2,12,False
4,19,81.38509615384615,82.67692307692307,0.984375,64,5374.0,50.888192567787186,0.9611650485436893,206,False,0.25,2,80,40,3,7,6,20,6,4,12,True
5,21,77.72656190655115,79.07330926631813,0.9829683698296837,411,34436.0,61.12061757131381,0.9723467862481315,1338,False,0.5,4,160,40,2,4,6,20,4,6,10,False
6,13,71.43102381880819,73.22905874330908,0.9754464285714286,448,41578.0,50.03566558185813,0.9504473503097041,1453,False,0.4,2,20,40,3,4,4,22,4,8,8,True
7,14,70.30833070076069,71.98233857458833,0.9767441860465116,86,8816.0,44.84521509201932,0.9444444444444444,234,False,0.7,4,180,30,2,7,6,24,6,4,12,False
8,28,69.00595894731381,70.05150377984887,0.9850746268656716,268,17208.0,54.12068655003311,0.975635593220339,944,False,0.3,3,40,20,3,5,8,16,6,4,8,False
9,47,56.18077576433892,57.49751269631562,0.9770992366412213,131,12066.0,40.03193415181612,0.9513381995133819,411,False,0.3,2,40,70,2,6,12,22,10,0,8,False
10,8,56.133093374563686,57.198911603194645,0.9813664596273292,161,13336.0,35.29446136242671,0.9552529182879378,514,False,0.3,3,60,40,3,6,14,20,10,4,8,True
